class_name,accuracy
Pepper__bell___Bacterial_spot,1.0
Pepper__bell___healthy,0.9932659932659933
Potato___Early_blight,1.0
Potato___Late_blight,0.9751243781094527
Potato___healthy,1.0
Tomato_Bacterial_spot,0.9836065573770492
Tomato_Early_blight,0.9701492537313433
Tomato_Late_blight,0.9765013054830287
Tomato_Leaf_Mold,1.0
Tomato_Septoria_leaf_spot,0.9830985915492958
Tomato_Spider_mites_Two_spotted_spider_mite,0.9970238095238095
Tomato__Target_Spot,0.9539007092198581
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9595645412130638
Tomato__Tomato_mosaic_virus,1.0
Tomato_healthy,1.0
